Area,"Alcohol, Non-Food",Apples and products,"Aquatic Animals, Others",Aquatic Plants,Bananas,Barley and products,Beans,Beer,"Beverages, Alcoholic","Beverages, Fermented",Bovine Meat,"Butter, Ghee",Cassava and products,Cephalopods,"Cereals, Other","Citrus, Other",Cloves,Cocoa Beans and products,Coconut Oil,Coconuts - Incl Copra,Coffee and products,Cottonseed,Cottonseed Oil,Cream,Crustaceans,Dates,Demersal Fish,Eggs,"Fats, Animals, Raw","Fish, Body Oil","Fish, Liver Oil",Freshwater Fish,"Fruits, Other",Grapefruit and products,Grapes and products (excl wine),Groundnut Oil,Groundnuts (Shelled Eq),Honey,Infant food,"Lemons, Limes and products",Maize and products,Maize Germ Oil,"Marine Fish, Other","Meat, Aquatic Mammals","Meat, Other",Milk - Excluding Butter,Millet and products,Miscellaneous,"Molluscs, Other",Mutton & Goat Meat,Nuts and products,Oats,"Offals, Edible","Oilcrops Oil, Other","Oilcrops, Other",Olive Oil,Olives (including preserved),Onions,"Oranges, Mandarines",Palm kernels,Palm Oil,Palmkernel Oil,Peas,Pelagic Fish,Pepper,Pigmeat,Pimento,Pineapples and products,Plantains,Potatoes and products,Poultry Meat,"Pulses, Other and products",Rape and Mustard Oil,Rape and Mustardseed,Rice and products,Ricebran Oil,"Roots, Other",Rye and products,Sesame seed,Sesameseed Oil,Sorghum and products,Soyabean Oil,Soyabeans,"Spices, Other",Sugar (Raw Equivalent),Sugar beet,Sugar cane,Sugar non-centrifugal,Sunflower seed,Sunflowerseed Oil,Sweet potatoes,"Sweeteners, Other",Tea (including mate),Tomatoes and products,"Vegetables, Other",Wheat and products,Wine,Yams
Malaysia,NA,3.37,0.22,0,8.87,0,1.32,9.43,0,0.06,5.62,0,2,2.56,1.47,0.24,0.03,0,1.12,4.49,0.02,NA,0.18,0.22,4.63,0.73,13.27,17.88,0.73,0,0,6.45,16.63,0.3,1.28,0.13,1.66,0.06,1.66,0.71,13.7,0.42,10.76,NA,0.01,5.71,NA,NA,1.55,0.83,0.9,1.73,0.85,0.59,0.01,0.05,0.02,17,4.94,0,7.01,4.87,0.91,18.41,0.65,7.22,1.41,7.87,0,13.62,39.21,0.6,0.64,0,119.64,NA,1.37,NA,0.01,0.13,NA,2.45,0.03,2.75,41.99,NA,0,NA,NA,0.01,0.79,0.01,1.07,4.83,44.62,49.93,0.15,0.06
Maldives,NA,6.4,0.07,0,4.61,0.01,0.08,4.59,0.9,0.02,5.19,0,0.2,0.79,0.09,0.17,0.05,0,0.07,0.61,3.41,NA,NA,0,3.54,1.02,0.51,11.74,0.03,NA,0,0.57,29.32,0.39,1.76,0,0.54,0.27,0.25,4.61,0.77,NA,0.99,NA,0.12,23.8,0.16,30.91,1.47,0.91,7.78,0.11,0.02,0.64,0.01,0.51,0.32,20.2,8.14,0,NA,NA,0.01,82.54,0.25,0.89,0.91,6.02,0.02,12.26,13.5,0.74,0.05,0,49.85,NA,3.56,NA,0.02,0.05,NA,0.52,0.45,2.32,23.58,1.03,NA,NA,0.03,0.02,0.78,6.78,0.66,8.71,50.42,67.61,1.54,0.05
Mali,NA,0.21,NA,0,9.79,0,0,0.97,0.03,34.76,9.36,0,2.52,0,1.52,0.01,0,0,0,0.05,0.04,NA,3,0,0.01,0.06,1.92,0.71,0.55,NA,NA,6.17,10.97,0.04,0.03,1.58,4.36,0.77,0.02,1.82,46,0,0.83,NA,2.8,88.17,61.37,2.26,0.03,8.54,2.94,0,3.4,0.81,0.52,0,0,4.63,24.39,NA,0.91,0.01,0.02,0.38,0.03,0.15,0.2,0.08,0.88,7.81,2.83,9.83,0,0,81.4,NA,0.3,0,0.8,0,40.62,0.05,0.13,0.56,9.98,NA,NA,NA,0,0.01,17.14,0.15,0.72,8.89,76.79,14.94,0.03,5.39
Malta,NA,10.92,0.03,0,20.22,0,1.49,43.31,4.51,1.19,18.89,0,0.01,1.15,0.61,0.33,0,0,0.07,0.23,2.52,NA,0,0,2,0.54,3.27,11.95,3.67,0,0,3.08,22.53,0.58,3.02,0,1.68,0.29,0.56,2.44,4.78,0.17,2.51,NA,5.56,111.33,NA,0,4.66,1.44,2.2,1.01,1.33,3.02,0,1.44,2.57,16.65,20.1,NA,NA,NA,0.37,15.22,0.14,28.98,0.05,1.74,0.03,36.52,27.17,2.05,NA,0,4.78,NA,0.01,NA,0.25,0.02,NA,2.4,0.12,0.39,47.12,NA,NA,NA,0.29,1.53,0.11,45.44,1.22,38.25,145.98,129.43,20.5,0
Mauritania,NA,0.87,0,0,1.02,0.32,2.6,0.01,0.02,0.01,7.03,0.43,0,0.14,0.62,0.17,0,0,NA,0,0.01,NA,NA,0,0.11,5.63,0.15,2.32,0.6,0,0,3.51,3.22,0.01,0.01,0.32,0.08,0,0.02,0,3.23,0,0.66,NA,6.17,89.77,0.64,6.85,1.06,12.71,0,0.02,3.91,0.35,0.62,0.02,0.01,12.69,0.8,NA,4.77,0.05,2.12,3.52,0.06,0,0,0.13,0,8.16,5.14,5.33,0.82,0,53.1,NA,0,0,0,0,14.69,7.97,0,0,36.81,NA,NA,NA,NA,0.07,0.55,2.62,3.35,1.11,22.55,114.56,0.01,0.59
Mauritius,NA,5.36,0.11,0,6.05,1.04,0.86,29.83,1.79,0,5.18,0,0.29,1.3,0.26,0.62,0.02,0,0.05,2.06,0.49,NA,0.06,0,2.26,0.25,3.67,6.4,0.08,0,0,0.74,11.51,0.64,2.42,0,1.77,0.16,0.68,1.06,3.22,0.02,3.24,NA,0.78,18.59,NA,10.74,0.17,4.14,0.4,0.62,1.27,1.63,NA,0.74,0.13,13.79,6.07,NA,0.44,0.06,3.1,11.67,0.1,2.86,0.2,4.64,NA,18.97,37.93,5.31,0.28,0,56.62,NA,0.3,NA,0.07,0.02,NA,15.26,0.55,1.68,28.3,NA,NA,NA,0.08,3.62,0.3,10.17,1.27,12.04,46.85,124.35,1.74,NA
Melanesia,NA,2.41,0.19,0,9.66,0.13,0.25,18.89,1.25,0.07,6.12,1.52,18.38,0.13,0.19,0.01,0.01,0.26,2.37,70.24,0.8,NA,0,0,1.04,0.07,1.59,3.5,0.97,0,0,0.21,27.22,0.03,0.73,0.03,1.81,0.15,0.2,0.43,0.3,0.02,9.44,NA,0.07,19.14,0.03,9.88,1.69,2.87,0.31,0.19,1.8,1.37,0,0.23,0.04,5.1,2.33,NA,0.69,0.02,3.72,16.94,0.11,7.2,0.02,2.85,0.06,15.51,19.98,4,0.43,0,64.27,NA,58.42,0,0.01,0.02,NA,3,0.69,0.46,16.3,NA,NA,NA,0.01,1.24,56.32,54.4,0.38,1.52,37.96,58.99,2.92,24.92
Mexico,NA,7.56,0.3,0,11.38,0,8.83,63.71,1.77,0.06,14.18,0.44,0.11,0.43,0,0.17,0.01,0,0,0.18,0.35,NA,0.02,0.05,2.45,0.04,1.71,19.31,2,0,0,4.5,38.6,2.48,1.97,0.04,2.31,0.17,0,11.2,126.83,0.29,0.18,NA,0.65,119.01,NA,0.41,1,0.85,1.67,0.94,5.29,0.09,0,0.14,0.12,9.67,34.35,NA,3.36,NA,0.18,4.11,0.05,16.67,0.5,6.61,0,15.46,32.52,1.52,1.63,0,8.92,NA,1.42,0,0.18,0.11,NA,4.29,0.02,1.12,37.06,NA,0,0.29,0.02,0.24,0.35,10.54,0.02,19.83,46.02,33.56,0.14,NA
Micronesia,NA,0.3,0,0,58.8,0,NA,3.39,0.27,0,2.34,0,0.27,0.11,0.04,0.02,NA,0,4.82,123.84,0.1,NA,NA,0,0.19,0,16.12,2.06,0.61,NA,NA,0.04,14.3,0,0.02,0,0.17,0,0,0,0.05,NA,4.02,NA,0.11,1.96,NA,6.41,0.18,0.05,2.45,0.02,0.44,0.3,NA,0,NA,0.74,0.49,NA,NA,0,0,56.04,0,9.47,NA,0.05,NA,0.08,17.98,0.04,NA,0,70.08,NA,89.87,NA,NA,0.03,NA,0.39,1.51,0.08,46.83,0,NA,NA,NA,NA,NA,5.12,0.29,0.1,51.15,33.73,0.07,NA
Middle Africa,0,0.39,0,0,24.58,0.06,7.47,29.58,0.44,22.87,5.55,0.04,117.87,0.06,4.86,3.12,0,0,0.02,0.4,0.36,NA,0.36,0.11,0.46,0.23,4.38,0.5,0.49,0,0,3.18,5.83,0.13,0.02,2.05,7.82,0.53,0.16,0.13,40.53,0,1.19,NA,2.44,14.93,8.6,1.05,0.01,4.11,0.58,0.03,3.15,0.06,0.98,0.05,0.02,4.23,0.73,0,2.94,0.17,0.16,8.04,0,3.93,0.52,12.17,18.18,8,7.16,3.65,0,0,22.66,0,10.4,0,0.97,0.04,17.3,1.06,0.22,0.66,9.95,NA,0.04,0,0,0.27,17.34,3.6,0.09,15.61,31.4,24.35,0.7,15.22
Mongolia,NA,3.32,NA,0,0.86,0.42,0,28.75,4.55,0.01,22.34,0.54,0.16,0,1.04,0.03,0,0,NA,0,0.65,NA,0,0,0,0.01,0,4.07,3.67,0,0,0.04,5.86,0.01,0.43,0,0.11,0.05,0.16,0.07,1.17,0,0.43,NA,12.1,173.14,NA,6.34,0,50.74,0.15,0.21,12.46,1.81,0.05,0.04,0.02,8.88,0.63,NA,0.77,0.05,0.02,0,0.02,0.41,0,0.09,0.04,28.4,2.77,0.38,0.08,0,8.5,NA,0,NA,0,0.01,NA,1.05,0.08,0.02,14.22,NA,NA,NA,0,2.24,0,1.75,0.87,0.51,37.93,99.39,1,NA
Montenegro,NA,10.2,0.03,0,20.06,0.03,2.36,25.76,3.58,1.02,12.96,2.71,0,1.1,3.56,0.48,0,0,0.01,0.09,5.48,NA,NA,NA,0.78,0.25,3.04,12.04,1.78,0,0,2.29,48.81,0.98,9.67,0,0.69,1.12,0.39,5.42,2.23,0,0.79,NA,0.03,389.91,0.02,18.01,0.97,2.15,2.06,0.1,2.46,2.37,NA,0.36,0.7,8.57,27.69,NA,NA,0.17,2.2,5.1,0.04,41.89,0.17,0.9,NA,25.96,15.98,0.03,0.01,0,2.02,NA,0,0.68,0.08,0,NA,0,0.02,0.17,21.37,NA,NA,NA,0.05,6.32,0.01,108.76,0.18,18.8,81.25,100.94,17.84,NA
Morocco,NA,14.64,0,0,9.18,35.28,0.08,3.1,0.09,0,7.22,1.55,0,0.11,0,0.15,0,0,0.01,0.02,0.96,NA,0,0,0.42,3.36,1.72,6.79,0.47,0,0.01,0.5,22.54,0,8.87,0.35,0.01,0.19,0.11,0.62,41.25,0.05,1.08,NA,1.84,52.58,0.15,0,0.03,5.07,3.57,0.12,2.73,0.53,0,2.76,2.46,20.13,41.35,NA,NA,NA,0.93,15.61,0.01,0.02,0.66,0.2,0.08,47.74,20.96,3.62,0.13,0,1.93,NA,0,0.05,0.13,0,0.01,6.08,0.01,0.98,36.81,NA,NA,NA,NA,1.53,0.38,0.56,1.9,18.62,63.3,183.16,0.83,NA
Mozambique,NA,0.41,0,0,15.94,0,4.12,11.46,0.36,0.35,0.64,0.02,192.68,0.07,0.01,0,0,0,0.99,0.44,0.08,NA,0.19,0,0.53,0,0.06,1.95,0.28,0,0,3.4,6.84,0.3,0.03,0.26,0.83,0.02,0.07,0.18,65.92,0.76,7.2,NA,0.01,16.54,0.39,1.51,0.01,0.67,2.03,0,0.86,0.6,0,0.02,0.01,7.95,2.53,NA,2.47,0.01,0.03,0.19,0,4.47,NA,2.34,NA,8.6,3.59,8.78,0,0,35.98,0,0.33,0,NA,0.26,6.79,1.32,0,0.04,9.89,NA,0,NA,NA,0.69,23.36,0.83,0.97,12.83,7.21,24.06,0.14,NA
Myanmar,NA,1.4,0.04,0,0,0,3.34,1.91,0.56,0,8.53,0.94,8.43,0.01,0.15,0,0,0,0,7.11,0.8,NA,0.61,0.04,0.36,0,0,5.4,1.08,0,0,32.61,25.01,0.01,0.16,4.15,3.74,0.03,0.05,0.01,4.52,0,13.85,NA,0,42.5,0.58,3.93,0,1.86,3.41,0,2.69,0,NA,0,0,17.91,0.91,NA,0.26,0,1.91,0.49,0,17.48,2.46,0.05,19.62,7.88,30.37,9.74,0,NA,178.25,0,0,0,1.39,0.74,1.77,0.75,0.33,0.08,1.74,NA,NA,16.11,0.3,0.87,0.67,15.59,1.89,0.02,64.87,10.92,0.1,NA
Namibia,NA,5.93,0.06,0,1.44,NA,0.12,31.76,3.78,9.77,6.03,0.46,0.01,0.82,0.49,0.18,0,0,0.01,0.02,0.57,NA,0.35,NA,0.45,0,2.48,1.36,0.83,0,0,1.27,22.81,0.14,0.1,0,0.59,0.03,0.05,0.81,44,0.01,0.22,NA,5.2,61.96,15.43,8.17,0.33,3.41,0.13,0.32,2.51,2.08,0,0.12,0.05,10.15,3.09,NA,NA,0,0.03,6,0.18,4.37,0,0.38,0.65,19.06,11.53,8.14,NA,0,8.08,NA,126.52,0.25,0.01,0.02,1.82,0.41,0.03,1.26,26.06,0,0.01,NA,NA,7.85,0.26,19.23,0.44,2,14.72,42.42,16.91,0
Nepal,NA,3.13,0,0,9.34,1.19,0.67,4.34,0.22,0,8.29,0.02,0.07,0,0.4,0.29,0.01,0,0,0.4,0.05,NA,0,0,0,0.05,0,1.98,0.41,0,0,2.57,47.08,0,0.52,0.04,0.11,0.15,0.02,1.36,46.45,0,0.24,NA,0,54.12,9.98,0.8,0,2.42,1.35,0,2.12,2.86,NA,0.01,0,4.11,3.48,NA,0.67,0,0.9,0.01,0.22,0.85,1.32,0.22,0.01,78.68,1.99,10.99,2.29,0,139.62,0.38,4.78,0,0.05,0,0,4.46,0.01,4.24,4.54,NA,42.34,0.16,0.1,0.62,0,2.69,0.39,0.53,123.41,52.87,0.01,NA
Netherlands,NA,25.95,0.21,0,11.39,5.73,0.27,58.45,3.06,0.33,15.84,3.89,NA,0.28,10.81,0.7,0.01,0,NA,0.25,4.86,NA,NA,0.04,2.37,0.13,9.72,14.12,2.39,0,0,2.88,15.37,4.87,6.37,3.05,0.1,0.57,NA,1.37,2.95,0.15,0.01,NA,1.24,340.35,NA,NA,0.75,1.01,3,2.27,0.75,5.56,0.01,0.84,0.35,2,21.18,NA,1.2,NA,0.89,5.74,0.18,37.38,0.3,3.05,2.68,79.72,20.33,0.45,NA,0,4.32,NA,0.05,0.94,0.14,NA,NA,4.94,1.01,0.72,42.61,NA,NA,NA,NA,0.3,0.74,1.14,0.63,8.57,51.03,66.91,21.16,0.1
New Caledonia,NA,5.84,0.94,0,4.55,0.03,0.55,39.06,3.53,0.43,13.84,0,2.45,0.25,0.11,0.03,0,0.01,0.2,23.78,1.81,NA,0,0,1.03,0.11,0.5,8.76,0.96,0,NA,0.56,38.79,0.12,1.23,0.14,0.58,0.42,1.45,2.91,0.78,0.06,4.46,NA,0.02,32.35,0.22,41.33,3.95,1.92,0.44,0.02,2.33,3.84,NA,1.3,0.22,0.23,10.42,NA,0.3,0,0.06,13.04,0.15,14.1,0.02,0.81,0.46,20.91,38.71,0.87,0.28,1,18.36,NA,0.96,0.01,0.07,0,NA,0.53,1.27,0.39,21.75,NA,NA,NA,0.03,8.73,1.39,15.12,0.22,2.51,62.65,80.81,15.84,4.28
New Zealand,NA,7.85,0.25,0,14.92,0.21,1.57,67.15,3.04,0.14,20.84,9.13,0.3,1.13,4.06,2.02,0.01,0,0,0.64,3.06,0,0.12,0.18,2.53,0,11.82,10.42,1.67,0,0,2.61,18.81,0.17,3.93,0.02,2.46,1.21,NA,1.02,3.86,0.27,0.02,NA,2.37,110.04,NA,0,0.91,19,2.21,2.47,1.88,0.14,0.04,1.01,0.38,NA,7.34,NA,0,0,0.82,5.71,0.1,23.89,0.08,3.16,0.08,46.65,34.79,1.17,2.66,0,10.74,NA,0.73,0,0.16,0.06,NA,2.59,0.72,0.55,49.41,0.16,0,NA,0.24,1.02,2.01,5.69,0.44,16.96,81.67,92.97,6.67,0.04
Nicaragua,NA,2.04,0.03,0,0,0,13.52,14.25,2.57,0.03,3.59,0.09,10.46,0.02,0.64,0.07,0,0,0.2,0.77,0,NA,0.06,0,0.04,0.05,0.33,5.45,0.74,0,0,0.45,2.95,0,0.33,0.99,2.31,0,0.7,0.21,66.44,0,0.11,NA,0.35,84.91,NA,5.9,1.42,0.01,0.03,1.38,2.04,0.88,NA,0.07,0.05,7.38,5.55,NA,3.58,NA,0,4.14,0.01,5.28,0,8.17,18.72,5.29,21.59,0,NA,0,68.73,NA,3.09,NA,0.01,0.01,1.32,3.3,0.02,0.04,40.66,NA,NA,0,0.01,0.07,0,15.95,0.05,9.84,18.33,28.31,0.22,0.14
Niger,NA,0.05,0,0,0.21,0,0.79,0.45,0.07,0,6.7,0.89,6.18,0,0.31,0,0,0,0,0.32,0.05,NA,0,0,0,1.57,0.11,0.24,0.3,0,NA,1.73,23.74,0,0,1.57,12.62,0,0.01,0,3.88,0,0.06,NA,2.48,54.43,132.7,0.68,0,2.56,0,0,2.03,0,NA,0,0,42.95,0.01,NA,2.39,0,0.05,0.12,0.03,0.07,0.54,0.01,0,2.95,0.94,34.13,0,0,25.57,0,0.18,0,1.9,0,57.04,0.01,0,0.24,3.58,NA,0,NA,NA,0.01,4.16,0.1,0.3,11.49,52.07,4.18,0.04,0.08
Nigeria,NA,0.21,0,0,0,0,0,13.59,0.09,36.65,1.86,0.07,118.63,0,0.36,19.04,0,0,0.05,0.61,0.05,NA,0.06,0,0.29,0.01,1.95,2.49,0.12,0,0,3.75,14.04,0,0.03,1.68,1.88,0,0.04,0,34.71,0,0.36,NA,0.91,2.18,6.16,0.51,0.02,1.98,1.06,0.03,0.79,0.84,1.68,0,0,4.64,0.01,NA,5.45,2.2,0,2.74,0,1.39,0.32,7.68,14.74,4.52,1.01,10.47,0,0,46.32,0,7.71,0,0.04,0.08,32.07,0.43,1.79,1.83,7.65,NA,0,0.07,NA,0,14.15,0.47,0.03,20.27,53.98,17.94,0.11,101
North Macedonia,NA,2.14,0,0,0,NA,3.24,30.14,1.67,0.12,7.09,2.75,0,0.06,0.07,0.02,0,0,NA,0.06,4.06,NA,NA,0.1,0.03,0.38,2.36,5.04,3.85,0,0,1.12,17.85,0.42,45.85,0,2.86,0.28,0.23,2.87,22.65,0,0.12,NA,0.11,155.89,NA,5.01,0.05,0.55,3.18,0.88,3.14,2.57,0.02,0.88,2.33,22.93,9.64,NA,NA,NA,0.91,2.47,0.07,9.14,1.84,0.35,10.59,65.12,19.73,0.9,NA,0,3.38,NA,NA,0.47,0.21,0.2,NA,0.04,0.13,0.37,36.67,NA,NA,NA,NA,13.15,0,14.59,0.32,61.96,172.75,103.46,1.8,NA
Northern Africa,NA,8.9,0,0,10.52,8.2,0.48,2.17,0.06,0.01,8.26,0.58,0,0.08,0.05,0.61,0,0,0.05,0.04,1.18,NA,0.04,0.34,0.21,12.71,2.63,4.7,0.41,0,0,6.31,23.78,1.29,10.41,1.06,1.04,0.09,0.15,2.95,35.85,0.33,0.32,NA,1.55,72.96,2.78,0.62,0.04,4.4,1.38,0.03,3.3,1.26,0.18,0.98,4.84,24.15,25.38,NA,0.32,0.06,0.33,5.18,0.06,0.01,0.49,0.11,0.03,38.67,11.17,5.59,0.05,0,24.31,0,0.3,0.01,0.53,0.15,12.87,3.78,0.07,0.47,28.91,NA,14.33,0,0,2.02,2.25,1.32,0.92,44.62,78.63,143.52,0.27,0.75
Northern America,NA,17.66,0.05,0,12.33,0.19,2.67,79.67,5.7,2.02,35.16,2.45,0.05,0.58,0.62,0.02,0,0,0.18,0.25,4.66,NA,0.39,0.93,6.2,0.2,4.61,15.43,1.13,0,0,5.08,21.43,1.38,6.86,0.18,4.56,0.66,0.06,4.54,12.74,1.91,0.03,0,0.73,245.43,NA,1.08,2.98,0.56,3.43,3.37,0.37,1.31,0.01,0.98,0.6,11.27,19.77,NA,0,0.05,0.69,2.9,0.19,29.46,0.34,5.11,1.05,53.79,53.99,1.2,2.71,0,10.98,NA,0.32,0.66,0.07,NA,0.37,12.29,0.28,0.44,32.91,NA,NA,NA,0.49,0.14,2.81,34.95,0.47,30.86,70.08,81.11,8.28,0.12
Northern Europe,NA,12.98,0.01,0,14.5,2.03,0.27,72.71,3.01,1.42,18.38,3.26,0,0.16,0.37,0.46,0,0,0.01,0.28,4.54,0,0,4.04,4.07,0.25,8.54,11.63,1.69,0.2,0,4.6,21.33,1.25,4.83,0.04,1.95,0.73,0.61,2.19,3,0.27,0.3,NA,1.12,255.43,NA,12.79,1.05,3.44,1.64,5.29,2.06,1.6,0.04,0.97,0.69,8.4,20.18,NA,0,0,1.87,5.55,0.16,26.74,0.13,2.66,0.5,80.84,28.24,1.2,5.17,0,6.51,NA,0.01,4.77,0.1,0.04,NA,1.64,0.22,0.76,33.94,0,0,NA,0.11,2.01,0.08,13.29,1.24,14,63.13,96.95,19.32,0.12
Norway,NA,13.08,0.01,0,15.47,7.46,0.11,51.29,1.77,1.27,19.63,3.09,NA,0.06,0.02,0.14,0,0,0,0.14,8.76,NA,NA,7.05,10.29,0.26,23.36,11.58,1.3,0,0,10.85,22.88,0.49,5.63,0.3,1.63,0.34,0.39,1.86,0,0.03,0.05,NA,0.75,252.82,NA,68.1,0.84,5.23,1.85,5.75,1.67,12.42,0.53,0.74,0.51,1.15,17.81,NA,0,NA,3.38,5.9,0.09,22.81,0.05,2.38,0.03,51.8,19.05,2.5,0,0,4.66,NA,0,7.74,0.29,0.01,NA,1.19,0.3,0.3,27.23,0,NA,NA,2.14,1.56,0.71,14.77,0.25,9.72,62.29,86.14,16.6,0.01
Oceania,NA,11.67,0.11,0,15.16,0.04,0.25,70.65,1.96,1.28,31.22,4.38,1.39,1.06,1.45,0.39,0.01,0.02,0.22,7.07,4.17,0,2.42,0.18,4.17,0.26,6.52,8.02,1.62,0,0.01,3.8,21.93,0.26,6.37,0.06,2.38,0.72,0.33,1.19,4.4,0.15,2.37,NA,2.1,186.88,0,8.19,2.5,10.79,4.79,1.65,6.36,4.62,0.01,1.32,2.16,7.48,9.69,NA,2.62,0,0.54,6.11,0.13,24.24,0.14,5.11,0.02,45.02,43.96,1.03,6.62,0,18.68,NA,5.03,0.02,0.02,0.15,0,0.95,0.72,0.52,36.79,0.02,0.08,NA,0.04,0.69,5.88,11.51,0.54,16.59,65.87,77.01,17.02,1.71
Oman,NA,5.02,0,0,3.15,0,0.25,3.72,NA,NA,7.62,0,0.19,0.16,0.12,0.29,0.02,0,0.15,0.47,1,NA,0,0,0.95,52.27,13.42,8.15,0.81,0,0,0.5,59.26,0.06,2.77,0,0.31,0.39,0.6,3.11,12.68,1.27,3.24,NA,2.43,108.26,NA,0,0.04,11.65,0.74,0.43,2.68,0.55,0.02,0.3,0.79,19.88,11.81,NA,6.86,NA,0.35,10.23,0.16,0.01,0.32,0.77,0.4,23.86,21.63,3.34,NA,0,47.26,NA,0.04,0.02,0.03,0.02,NA,0.56,0.03,2.76,23.29,0.11,NA,NA,0.14,0.22,0.02,13.09,0.98,44.36,90.36,76.95,NA,0.01
Pakistan,NA,2.54,0.01,0,0.37,0.32,1.14,0.07,0,0.01,8.62,0.01,0,0.04,0.28,0.14,0.01,0,0,0.19,4.08,NA,0.32,0.01,0.02,1.63,0.06,3.36,0.88,0,0,1.28,8.64,0,0.77,0.14,0.12,0.02,0.07,0.42,13.24,0.01,0,NA,0.08,184.57,0.7,0.04,0.01,2.3,0.8,0.01,1.85,0.3,0.63,0.02,0.01,8.43,8.01,NA,1.73,0.05,1.87,0.31,0.04,NA,0.65,0.13,0,14.7,5.86,3.55,0.1,0,17.1,0.03,2.34,0,NA,0,0.92,0.13,2.41,0.81,23.77,NA,16.83,1.02,NA,0.4,0.06,0.27,0.86,1.97,10.42,104.8,0,NA
Panama,NA,3.47,0.04,0,12.21,0.01,2.03,82.24,2.2,0.11,17.03,1.48,4.22,2.12,0.27,0.07,0.01,0,0.01,3.18,1.49,NA,0,0,0.67,0.01,0.84,6.01,1.74,0,0,0.86,12.16,0.09,1.95,0,0.17,0.04,1.15,0.24,32.58,0.1,0.77,NA,0.77,69.88,NA,8.55,0.43,0.01,0.47,1,3.75,3.63,0,0.29,0.23,6.6,9.41,NA,0.26,NA,0.37,7.42,0.04,13.38,0.02,17.72,29.86,11.06,33.82,2.99,0.54,0,122.27,NA,0.3,0,NA,0.04,NA,4.64,2.18,0.14,30.32,NA,NA,0.47,0.13,0.46,0.02,24.36,0.08,8.37,10.46,30.06,1.94,2.36
Paraguay,NA,1.85,0,0,1.79,0.2,5.48,43.67,4.07,0.93,18.61,0.05,158.22,0.01,0.15,0,0,0,NA,0.06,0.53,NA,0.2,0,0.03,0.02,0.01,12.08,2.87,0,0,3.6,16.1,3.73,0.09,0.04,1.62,0.25,0.28,1.5,64.17,0,0.01,NA,0.05,71.14,0,2.11,0.07,0.58,0.02,0.1,6.25,0.45,0,0.07,0.1,4.14,39.59,NA,0.54,0.81,0.76,0.44,0.01,28.83,0,8.14,0.09,2.99,5.99,2.03,NA,0,7.07,NA,0,NA,1.44,NA,NA,10.31,0.01,0.1,27.52,NA,NA,NA,0.25,1.91,6.32,4.43,12.99,10.34,35.14,29.44,3.6,NA
Peru,NA,5.64,0.02,0,0.87,3.97,2.12,45.75,4.15,0,4.71,0.17,28.6,0.68,0.88,1.31,0.01,0,0,1.01,3.37,NA,0.13,0.01,0.9,0,3.69,8.95,0.25,0,0,3.17,25.92,0.15,4.15,0,0.67,0.05,0.23,3.43,23.57,0,1.96,0,1.08,56.68,NA,0.77,0.66,0.84,0.32,0.06,5.05,0.85,0,0.05,0.19,14.59,19.5,NA,2.64,0.49,2.31,13.98,0.03,4.3,0,13.45,44.95,82.58,13.47,4.43,0,0,76.44,0,4.98,0,0.04,0.03,NA,2.48,1.48,0.19,22.09,NA,0,0.52,0.01,0.38,6.2,1.48,0.11,5.11,47.16,59.49,3.85,NA
Philippines,NA,1.09,0,0,22.28,0.83,0.66,17.81,4.54,0.08,4.68,0.05,23.65,0.83,0.09,1,0,0,1.58,4.73,6.16,NA,0,0,1.04,0,3.72,4.05,3.48,0,0,7.43,38.59,0.25,0.5,0.12,1.25,0.01,0,0.07,20.85,0.06,0.26,NA,0.1,1.2,NA,2.21,0.81,0.55,2.11,0.21,3.12,0,0,0.05,0.01,1.97,1.11,NA,1.43,0.95,0.41,14.04,0.06,17.83,0.01,9.25,24.02,3.64,13.87,0.21,0.25,0,180.58,0,1.11,0,0.02,0.01,NA,0.24,0.19,0.31,18.16,NA,0,1.05,0.03,0.04,4.53,8.09,0.04,3.08,57.51,27.68,0.21,0.12
Poland,NA,13.09,0,0,3.06,6.87,0.8,108.67,4.8,7.99,3.25,5.21,NA,0,2.77,0.06,0,0,0,0.2,2.3,NA,NA,12.11,0.08,0.09,4.16,6.77,0.67,0,0.01,2.01,20.02,1.19,3.35,0,0.76,0.12,0,2.97,NA,0,0,NA,0.1,178.39,NA,NA,0.04,0.03,0.87,1.9,0.31,0.7,0.04,0.19,0.32,13.61,8.98,NA,0,0,1.17,4.39,0.12,55.01,0.12,1.42,0.79,101.67,30.3,0.04,3.72,0,1.61,NA,0,25.66,NA,0,NA,0.92,0.08,0.13,44.89,NA,NA,NA,NA,1.71,0.07,0.31,0.46,24.63,87.32,105.73,3.26,NA
Polynesia,NA,2.54,0.99,0,33.15,0.22,0.01,41.3,0.58,0.1,18.65,0,6.26,0.22,0.24,2.18,0,0,1.69,95.87,1.7,NA,0,0,1.61,0.02,0.77,5.19,1.81,0,NA,0.85,53.16,0.87,0.77,0.24,0.53,0.51,1.21,0.03,0.2,0,9.38,NA,0.85,36.9,NA,30.06,3.3,3.84,0.4,0.08,3.15,1.33,0.05,0.59,0.05,2.25,3.75,NA,1.34,0,0,30.74,0.08,18.39,0.01,12.6,NA,15.93,54.6,1.14,0.03,0,26.61,NA,53.56,NA,0,0.01,NA,0.22,1.02,0.4,21.13,NA,5.44,NA,0.03,5.77,NA,15.56,0.23,3.65,34.73,58.83,5.2,5.55
